City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Johnson City,US,75.43,few clouds,36.3134,-82.3535,Hampton Inn Johnson City
4,Tay Ninh,VN,87.22,clear sky,11.3,106.1,Thanh Tuyền Hotel
6,Russell,US,82.9,clear sky,32.3502,-85.1999,Macs
11,Sao Filipe,CV,78.48,clear sky,14.8961,-24.4956,Hotel Xaguate
12,Terenos,BR,74.91,clear sky,-20.4422,-54.8603,Rancho Pitzer
14,Rikitea,PF,73.29,light rain,-23.1203,-134.9692,People ThankYou
15,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
18,Heihe,CN,73.98,moderate rain,50.2441,127.4902,Hotel Strannik
25,Samarai,PG,79.25,broken clouds,-10.6167,150.6667,Nuli Sapi
26,Shingu,JP,85.62,scattered clouds,33.7333,135.9833,Shingu UI Hotel
32,Digha,IN,87.64,scattered clouds,21.6833,87.55,Khoniker Atithi
33,Camargo,MX,80.04,scattered clouds,27.6667,-105.1667,Hotel Santa Fe
34,Khatanga,RU,70.83,broken clouds,71.9667,102.5,"""Khatanga"""
39,Bubaque,GW,78.89,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
40,Bethel,US,79.75,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
41,Poum,NC,72.25,overcast clouds,-20.2333,164.0167,
44,Pundaguitan,PH,83.84,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
45,Goure,NE,77.02,overcast clouds,13.9835,10.2704,
46,Albany,US,72.79,clear sky,42.6001,-73.9662,
47,Aksarka,RU,70.88,broken clouds,66.5606,67.7975,
48,Puerto Ayacucho,VE,73.15,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
50,Vila Do Maio,CV,81.39,clear sky,15.1333,-23.2167,Hotel Marilu
51,Svetlaya,RU,73.56,overcast clouds,46.5389,138.3297,
55,Jamestown,US,74.79,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
57,Elat,IL,84.04,clear sky,29.5581,34.9482,Club Hotel Eilat
58,Bengkulu,ID,84.0,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
60,Carnarvon,AU,72.01,light rain,-24.8667,113.6333,Hospitality Carnarvon
61,Cockburn Town,TC,81.64,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
63,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
67,Hilo,US,82.26,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
70,Santa Cruz,BO,71.06,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
71,Marawi,PH,82.11,overcast clouds,7.9986,124.2928,Derogongan Residence
73,Oussouye,SN,78.82,broken clouds,12.485,-16.5469,Auberge du Routard
74,Roebourne,AU,77.18,scattered clouds,-20.7833,117.1333,Latitude20 Roebourne Village
78,Griffith,US,75.88,scattered clouds,41.5284,-87.4237,Apartment above Depot Bar
79,Tianpeng,CN,84.67,broken clouds,30.9866,103.9393,Shuangliu Love Home Business Hotel
80,Venosa,IT,70.99,clear sky,40.9613,15.8149,Gesualdo da Venosa
83,Qui Nhon,VN,87.78,scattered clouds,13.7667,109.2333,Seagull Hotel
84,Ladario,BR,72.03,clear sky,-19.0047,-57.6017,Hotel Fazenda 4 cantos
88,Belle Fourche,US,74.32,clear sky,44.6714,-103.8522,Super 8 by Wyndham Belle Fourche SD
90,Sao Felix Do Xingu,BR,71.22,clear sky,-6.6447,-51.995,Rio Xingu Camping
91,Kapaa,US,84.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
92,Shimoda,JP,89.1,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
93,Kayankulam,IN,78.96,overcast clouds,9.1833,76.5,Hotel Indraprastha
95,Tiznit,MA,72.93,clear sky,29.5833,-9.5,
96,Arraial Do Cabo,BR,70.61,few clouds,-22.9661,-42.0278,Pousada Porto Praia
100,Guhagar,IN,81.1,overcast clouds,17.4842,73.1929,Hotel Seawinds
101,Airai,TL,70.75,broken clouds,-8.9266,125.4092,
102,Port-Gentil,GA,73.2,overcast clouds,-0.7193,8.7815,Fengshui Residence
103,Lumphat,KH,85.41,broken clouds,13.4878,106.9816,Lumphat Homestay​ &​lake​side
105,Emba,KZ,73.9,scattered clouds,48.8264,58.1442,
106,Ketchikan,US,75.67,clear sky,55.3422,-131.6461,Snow's Cove Lodge
109,Vostok,RU,87.17,overcast clouds,46.4856,135.8833,
111,Shaunavon,CA,70.14,clear sky,49.6501,-108.4181,Bear's Den Lodge
112,Meulaboh,ID,74.66,moderate rain,4.1363,96.1285,Kost Pria
113,Maceio,BR,74.64,fog,-9.6658,-35.7353,Hotel Ponta Verde Maceió
115,Komsomolskiy,UZ,88.52,broken clouds,40.4272,71.7189,Ikathouse
116,Ermoupolis,GR,76.57,clear sky,37.4423,24.9425,Ploes
117,Atuona,PF,76.89,light rain,-9.8,-139.0333,Villa Enata
118,Det Udom,TH,87.62,broken clouds,14.906,105.0784,Chatsuda Resort
120,Zhigansk,RU,78.85,overcast clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
121,Vila Velha,BR,71.55,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
123,Vanimo,PG,84.51,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
125,Harper,LR,74.52,broken clouds,4.375,-7.7169,Screensaver
127,Abu Dhabi,AE,87.82,clear sky,24.4667,54.3667,Beach Rotana
128,Praia Da Vitoria,PT,71.85,few clouds,38.7333,-27.0667,Hotel Branco I
130,Pangai,TO,80.71,few clouds,-19.8,-174.35,Ha'apai Beach Resort
131,Carutapera,BR,76.03,clear sky,-1.195,-46.02,Lidera
132,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
135,Souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
138,Bayan,CN,76.78,light rain,46.0833,127.4,Wanhao Inn
141,Nantucket,US,78.91,mist,41.2835,-70.0995,Jared Coffin House
143,Georgetown,MY,86.9,few clouds,5.4112,100.3354,Cititel Penang
146,Sargur,IN,73.98,overcast clouds,11.9833,76.4167,Sri rama jyothishyalaya
150,Ponta Do Sol,PT,72.72,few clouds,32.6667,-17.1,Hotel do Campo
152,Yerbogachen,RU,76.28,overcast clouds,61.2767,108.0108,
155,Isangel,VU,77.11,overcast clouds,-19.55,169.2667,Tanna Lodge
156,Chon Daen,TH,86.88,overcast clouds,16.1895,100.8596,ซับขลุง
157,Xichang,CN,76.35,scattered clouds,27.8964,102.2634,Xichang ibis Hotel
159,Hithadhoo,MV,81.99,overcast clouds,-0.6,73.0833,Scoop Guest House
163,Fukue,JP,86.36,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
164,Dongsheng,CN,81.36,few clouds,39.8161,109.9776,Crowne Plaza Ordos
168,Buala,SB,85.21,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
169,Jieshi,CN,88.11,few clouds,22.8134,115.8257,Yuehai Hotel
171,Grand Gaube,MU,70.2,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
172,Naifaru,MV,81.09,overcast clouds,5.4444,73.3657,Naifaru Residence Guest House
174,Podor,MR,81.07,broken clouds,16.6527,-14.9587,Auberge Du Tékrour
176,Sukumo,JP,82.65,overcast clouds,32.9333,132.7333,Sukumojo
177,Mana,GF,76.37,broken clouds,5.6592,-53.7767,LE SAMANA
178,Vila Franca Do Campo,PT,72.01,few clouds,37.7167,-25.4333,Pestana Bahia Praia
179,Bengbu,CN,85.06,overcast clouds,32.9408,117.3608,Howard Johnson Nanshan Plaza
180,Erzin,TR,75.79,clear sky,36.9559,36.2,Artemis Otel
181,Tucupita,VE,73.76,broken clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
182,Nuevo Progreso,MX,81.54,broken clouds,23.1667,-97.95,Balneario Rio el Paraiso
185,Baykit,RU,72.39,light rain,61.67,96.37,
186,Okitipupa,NG,71.29,light rain,6.5047,4.7839,Coastal Hotel & Suites
190,Korla,CN,87.96,overcast clouds,41.7597,86.1469,Gulisitan Hotel
194,Xam Nua,LA,86.61,overcast clouds,20.4197,104.0439,Xee Wang Guesthouse
195,Robertsport,LR,75.6,few clouds,6.7533,-11.3686,Kwepunha Retreat
197,Berdigestyakh,RU,87.82,few clouds,62.0989,126.6992,
198,San-Pedro,CI,73.56,broken clouds,4.7485,-6.6363,Hotel Maria
201,Boende,CD,71.22,overcast clouds,-0.2167,20.8667,
202,Kieta,PG,83.46,light rain,-6.2167,155.6333,Uruna Bay Retreat
203,San Patricio,US,85.89,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
205,Butaritari,KI,82.08,broken clouds,3.0707,172.7902,Isles Sunset Lodge
206,Baruun-Urt,MN,77.25,scattered clouds,46.6806,113.2792,Ахмадын амралт сувилал
209,Porto Nacional,BR,71.6,clear sky,-10.7081,-48.4172,Vila Real Hotel
211,Sokolo,ML,76.66,heavy intensity rain,14.7328,-6.1219,
214,Pimenta Bueno,BR,72.55,scattered clouds,-11.6725,-61.1936,Cristalina Palace Hotel
215,High Rock,BS,83.28,few clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
216,Paracuru,BR,80.11,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
217,Ayorou,NE,75.56,moderate rain,14.7308,0.9174,Hotel Amenokal
218,Ribeira Grande,PT,72.84,few clouds,38.5167,-28.7,Quinta da Meia Eira
219,Uvira,CD,73.87,overcast clouds,-3.4067,29.1458,Hotel Suzana
224,Victoria Point,AU,73.18,clear sky,-27.5833,153.3,Bay Retreat Motel
